"","Kindom","Phylum","Class","Order","Family","Genus","Species"
"OTU_847","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"OTU_848","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_849","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage",""
"OTU_850","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","unidentified_Xanthomonadales","Acidibacter",""
"OTU_851","Bacteria","Verrucomicrobia","OPB35_soil_group","","","",""
"OTU_852","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","H16",""
"OTU_853","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_854","Bacteria","Tectomicrobia","","","","",""
"OTU_855","Bacteria","Planctomycetes","Phycisphaerae","CCM11a","","",""
"OTU_856","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_857","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS","","",""
"OTU_858","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_859","Bacteria","Latescibacteria","","","","",""
"OTU_860","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Croceicoccus","Croceicoccus_naphthovorans"
"OTU_861","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Fodinicurvata",""
"OTU_862","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_863","Bacteria","Chloroflexi","unidentified_Chloroflexi","unidentified_Chloroflexi","unidentified_Chloroflexi","Thermobaculum",""
"OTU_864","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa",""
"OTU_866","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_borbori"
"OTU_867","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","",""
"OTU_868","Bacteria","Proteobacteria","Betaproteobacteria","","","",""
"OTU_869","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",""
"OTU_870","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_871","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","","",""
"OTU_872","Bacteria","Cyanobacteria","Chloroplast","unidentified_Chloroplast","unidentified_Chloroplast","unidentified_Chloroplast",""
"OTU_873","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus",""
"OTU_874","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter",""
"OTU_875","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_876","Bacteria","Chloroflexi","","","","",""
"OTU_877","Bacteria","Chloroflexi","TK10","","","",""
"OTU_878","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","0319-6M6","",""
"OTU_879","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Sporacetigenium",""
"OTU_880","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Caulobacter_fusiformis"
"OTU_881","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Salinarimonas",""
"OTU_882","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","MSB-1E8","",""
"OTU_883","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","MNG7","",""
"OTU_884","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_885","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_886","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_887","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_888","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",""
"OTU_889","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",""
"OTU_890","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Leptolinea",""
"OTU_891","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","","",""
"OTU_892","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_893","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_894","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus",""
"OTU_895","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter",""
"OTU_896","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","","",""
"OTU_897","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_898","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga",""
"OTU_899","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","",""
"OTU_900","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea",""
"OTU_901","Bacteria","Chloroflexi","TK10","","","",""
"OTU_902","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Cereibacter",""
"OTU_903","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus",""
"OTU_904","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","",""
"OTU_905","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_906","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_907","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_908","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","","",""
"OTU_909","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","",""
"OTU_910","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Microbacteriaceae","",""
"OTU_911","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Blastopirellula",""
"OTU_912","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","",""
"OTU_913","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","",""
"OTU_914","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus",""
"OTU_915","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_916","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","",""
"OTU_917","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","",""
"OTU_918","Bacteria","Chloroflexi","Ardenticatenia","","","",""
"OTU_919","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","unidentified_Rickettsiales","Constrictibacter",""
"OTU_920","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","",""
"OTU_921","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_922","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_923","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_924","Bacteria","Chloroflexi","Ardenticatenia","","","",""
"OTU_925","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",""
"OTU_926","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20","","",""
"OTU_927","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus","Sandaracinus_amylolyticus"
"OTU_928","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","",""
"OTU_929","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","unidentified_Acidimicrobiales","Aciditerrimonas",""
"OTU_930","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_931","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter",""
"OTU_932","Bacteria","Bacteroidetes","Bacteroidetes_vadinHA17","","","",""
"OTU_933","Bacteria","Chloroflexi","Ardenticatenia","","","",""
"OTU_934","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","JG30-KF-CM45","","",""
"OTU_935","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1_clade","",""
"OTU_936","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",""
"OTU_937","Bacteria","Chloroflexi","Ardenticatenia","","","",""
"OTU_938","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_939","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Elev-16S-1332","",""
"OTU_940","Bacteria","Chloroflexi","JG30-KF-CM66","","","",""
"OTU_941","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Caulobacter_henricii"
"OTU_942","Bacteria","Chloroflexi","TK10","","","",""
"OTU_943","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","",""
"OTU_944","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Pleomorphomonas",""
"OTU_945","Bacteria","Chloroflexi","JG30-KF-CM66","","","",""
"OTU_946","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurovum",""
"OTU_947","Bacteria","Actinobacteria","TakashiAC-B11","","","",""
"OTU_948","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","I-10","",""
"OTU_949","Bacteria","Actinobacteria","unidentified_Actinobacteria","Glycomycetales","Glycomycetaceae","Glycomyces",""
"OTU_950","Bacteria","Armatimonadetes","","","","",""
"OTU_951","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis",""
"OTU_952","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","AKYG1722","","",""
"OTU_953","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Cesiribacter",""
"OTU_954","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_wittichii"
"OTU_955","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_956","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Solimonadaceae","Polycyclovorans",""
"OTU_957","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae","",""
"OTU_958","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula",""
"OTU_959","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","","",""
"OTU_960","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Tepidamorphus",""
"OTU_961","Bacteria","Acidobacteria","Subgroup_22","","","",""
"OTU_962","Bacteria","Bacteroidetes","Bacteroidetes_vadinHA17","","","",""
"OTU_963","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudohongiella",""
"OTU_964","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula",""
"OTU_965","Bacteria","Acidobacteria","Holophagae","Subgroup_10","ABS-19","",""
"OTU_966","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","","",""
"OTU_967","Bacteria","Planctomycetes","OM190","","","",""
"OTU_968","Bacteria","Acidobacteria","Blastocatellia","unidentified_Blastocatellia","Blastocatellaceae_(Subgroup_4)","Stenotrophobacter",""
"OTU_969","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_970","Bacteria","Gemmatimonadetes","BD2-11_terrestrial_group","","","",""
"OTU_971","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Marinococcus","Marinococcus_halophilus"
"OTU_972","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","",""
"OTU_973","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",""
"OTU_974","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","",""
"OTU_975","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XII","Exiguobacterium","Exiguobacterium_sp._AT1b"
"OTU_976","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","MNC12","",""
"OTU_977","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_978","Bacteria","Chloroflexi","JG30-KF-CM66","","","",""
"OTU_979","Bacteria","Bacteroidetes","unidentified_Bacteroidetes","Order_III","unidentified_Order_III","",""
"OTU_980","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1_clade","",""
"OTU_981","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","AKYG1722","","",""
"OTU_982","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","",""
"OTU_983","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus",""
"OTU_984","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae","",""
"OTU_985","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","",""
"OTU_986","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","",""
"OTU_987","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",""
"OTU_988","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","unidentified_Rhodospirillales","Geminicoccus",""
"OTU_989","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","",""
"OTU_991","Bacteria","Actinobacteria","unidentified_Actinobacteria","Frankiales","","",""
"OTU_992","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_993","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium_faecium"
"OTU_994","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","","",""
"OTU_995","Bacteria","Armatimonadetes","","","","",""
"OTU_996","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_997","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","",""
"OTU_998","Bacteria","Proteobacteria","Gammaproteobacteria","Acidithiobacillales","RCP1-48","",""
"OTU_999","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas",""
"OTU_1000","Bacteria","Acidobacteria","Blastocatellia","unidentified_Blastocatellia","Blastocatellaceae_(Subgroup_4)","",""
"OTU_1001","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","KCM-B-15","",""
"OTU_1002","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium","Ornithinimicrobium_pekingense"
"OTU_1003","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","KCM-B-15","",""
"OTU_1004","Bacteria","Acidobacteria","Blastocatellia","unidentified_Blastocatellia","Blastocatellaceae_(Subgroup_4)","11月24日",""
"OTU_1005","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84","","",""
"OTU_1006","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"OTU_1007","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AKYH478","",""
"OTU_1008","Bacteria","Chloroflexi","TK10","","","",""
"OTU_1009","Bacteria","Chloroflexi","Ardenticatenia","","","",""
"OTU_1010","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rufibacter",""
"OTU_1011","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus_navajonensis"
"OTU_1012","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_1013","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudohongiella",""
"OTU_1014","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","",""
"OTU_1015","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_1016","Bacteria","Actinobacteria","TakashiAC-B11","","","",""
"OTU_1017","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Zunongwangia",""
"OTU_1018","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","AKYG1722","","",""
"OTU_1019","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_1020","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","",""
"OTU_1021","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_1023","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","",""
"OTU_1024","Bacteria","FBP","","","","",""
"OTU_1025","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_1026","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","AKYG1722","","",""
"OTU_1027","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_1029","Bacteria","Acidobacteria","Subgroup_5","","","",""
"OTU_1030","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga",""
"OTU_1031","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula",""
"OTU_1032","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea",""
"OTU_1033","Bacteria","Actinobacteria","Nitriliruptoria","Euzebyales","Euzebyaceae","Egibacter",""
"OTU_1034","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","",""
"OTU_1035","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",""
"OTU_1036","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Planifilum",""
"OTU_1037","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Fulvivirga",""
"OTU_1038","Bacteria","Gemmatimonadetes","BD2-11_terrestrial_group","","","",""
"OTU_1039","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",""
"OTU_1040","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",""
"OTU_1041","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","",""
"OTU_1042","Bacteria","Armatimonadetes","","","","",""
"OTU_1043","Bacteria","Latescibacteria","","","","",""
"OTU_1044","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","",""
"OTU_1045","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodomicrobium",""
"OTU_1046","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_1047","Bacteria","Tectomicrobia","","","","",""
"OTU_1048","Bacteria","Actinobacteria","","","","",""
"OTU_1049","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula","agricultural_soil_bacterium_SC-I-28"
"OTU_1050","Bacteria","Proteobacteria","Betaproteobacteria","","","",""
"OTU_1051","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1052","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_1053","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_1054","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_1055","Bacteria","Acidobacteria","Holophagae","Subgroup_10","Sva0725","",""
"OTU_1056","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_1057","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_1058","Bacteria","Actinobacteria","TakashiAC-B11","","","",""
"OTU_1060","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_amylovorus"
"OTU_1061","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_1062","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Parasegetibacter",""
"OTU_1063","Bacteria","Cyanobacteria","unidentified_Cyanobacteria","SubsectionIII","FamilyI","Phormidium","Microcoleus_sp._PCC_7113"
"OTU_1064","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","","",""
"OTU_1065","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","JG30-KF-CM45","","",""
"OTU_1066","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Leeia",""
"OTU_1067","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","","",""
"OTU_1068","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",""
"OTU_1069","Bacteria","Acidobacteria","Blastocatellia","unidentified_Blastocatellia","Blastocatellaceae_(Subgroup_4)","Blastocatella",""
"OTU_1070","Bacteria","Ignavibacteriae","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium",""
"OTU_1071","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfatirhabdium",""
"OTU_1072","Bacteria","Acidobacteria","Subgroup_5","","","",""
"OTU_1073","Bacteria","Chloroflexi","TK10","","","",""
"OTU_1074","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","JG30-KF-CM45","","",""
"OTU_1075","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus",""
"OTU_1076","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","",""
"OTU_1077","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Lutispora",""
"OTU_1078","Bacteria","","","","","",""
"OTU_1079","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurovum",""
"OTU_1080","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","H16",""
"OTU_1081","Bacteria","Actinobacteria","unidentified_Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas",""
"OTU_1082","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter",""
"OTU_1083","Bacteria","Actinobacteria","MB-A2-108","","","",""
"OTU_1084","Bacteria","Actinobacteria","unidentified_Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",""
"OTU_1085","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","","",""
"OTU_1086","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","Skermanella_sp._YIM_93097"
"OTU_1087","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","",""
"OTU_1088","Bacteria","Chlorobi","Chlorobia","Chlorobiales","OPB56","",""
"OTU_1089","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",""
"OTU_1090","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Craurococcus",""
"OTU_1091","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","JG30-KF-CM45","","",""
"OTU_1092","Bacteria","Proteobacteria","Gammaproteobacteria","","","",""
"OTU_1093","Bacteria","Bacteroidetes","unidentified_Bacteroidetes","Order_III","unidentified_Order_III","Fodinibius",""
"OTU_1094","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_1095","Bacteria","Armatimonadetes","","","","",""
"OTU_1096","Bacteria","Acidobacteria","Subgroup_17","","","",""
"OTU_1097","Bacteria","Acidobacteria","Subgroup_2","","","",""
"OTU_1098","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_1099","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","FFCH7168","",""
"OTU_1100","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","JG30-KF-CM45","","",""
"OTU_1101","Bacteria","Chloroflexi","Ardenticatenia","Ardenticatenales","","",""
"OTU_1102","Bacteria","Proteobacteria","Betaproteobacteria","","","",""
"OTU_1103","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus",""
"OTU_1104","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter",""
"OTU_1105","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","",""
"OTU_1106","Bacteria","Acidobacteria","Holophagae","Subgroup_10","ABS-19","",""
"OTU_1107","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Simiduia",""
"OTU_1108","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","",""
"OTU_1109","Bacteria","Acidobacteria","Blastocatellia","unidentified_Blastocatellia","Blastocatellaceae_(Subgroup_4)","",""
"OTU_1110","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","","",""
"OTU_1111","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",""
"OTU_1112","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_harenae"
"OTU_1113","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_1114","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_1115","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","JG30-KF-CM45","","",""
"OTU_1116","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",""
"OTU_1117","Bacteria","Acidobacteria","unidentified_Acidobacteria","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","",""
"OTU_1118","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","JG30-KF-CM45","","",""
"OTU_1119","Bacteria","Acidobacteria","Holophagae","unidentified_Holophagae","unidentified_Holophagae","Thermoanaerobaculum",""
"OTU_1120","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",""
"OTU_1121","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","",""
"OTU_1122","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","","",""
"OTU_1124","Bacteria","Actinobacteria","","","","",""
