"","Kindom","Phylum","Class","Order","Family","Genus","Species"
"OTU_9482","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9483","Bacteria","Acidobacteria","Subgroup_17","","","",""
"OTU_9484","Bacteria","Actinobacteria","unidentified_Actinobacteria","Streptosporangiales","","",""
"OTU_9486","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa",""
"OTU_9487","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_1",""
"OTU_9488","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",""
"OTU_9489","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",""
"OTU_9490","Bacteria","Chloroflexi","","","","",""
"OTU_9491","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",""
"OTU_9492","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",""
"OTU_9493","Bacteria","Acidobacteria","Holophagae","Subgroup_7","","",""
"OTU_9494","Bacteria","Chloroflexi","Dehalococcoidia","MSBL5","","",""
"OTU_9495","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Desulfomonile",""
"OTU_9497","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9498","Bacteria","Hydrogenedentes","","","","",""
"OTU_9499","Bacteria","Planctomycetes","Phycisphaerae","","","",""
"OTU_9500","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola",""
"OTU_9501","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_9502","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Gemmata",""
"OTU_9503","Bacteria","Chloroflexi","S085","","","",""
"OTU_9505","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacter","Xanthobacter_flavus"
"OTU_9506","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","unidentified_Bradymonadales","unidentified_Bradymonadales","delta_proteobacterium_GMD14H09"
"OTU_9507","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","","",""
"OTU_9508","Bacteria","Chloroflexi","SBR2076","","","",""
"OTU_9509","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae","",""
"OTU_9510","Bacteria","Omnitrophica","unidentified_Omnitrophica","unidentified_Omnitrophica","unidentified_Omnitrophica","Candidatus_Omnitrophus",""
"OTU_9513","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","",""
"OTU_9514","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","",""
"OTU_9515","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","",""
"OTU_9516","Bacteria","TM6_(Dependentiae)","","","","",""
"OTU_9517","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_9518","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus",""
"OTU_9519","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",""
"OTU_9520","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus",""
"OTU_9521","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",""
"OTU_9523","Bacteria","Acidobacteria","Holophagae","Subgroup_10","Sva0725","",""
"OTU_9524","Bacteria","Cyanobacteria","unidentified_Cyanobacteria","SubsectionIII","FamilyI","",""
"OTU_9526","Bacteria","Actinobacteria","TakashiAC-B11","","","",""
"OTU_9527","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","PHOS-HE51","",""
"OTU_9528","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","AKYG1722","","",""
"OTU_9529","Bacteria","","","","","",""
"OTU_9530","Bacteria","TM6_(Dependentiae)","","","","",""
"OTU_9531","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",""
"OTU_9532","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_9533","Bacteria","Cyanobacteria","unidentified_Cyanobacteria","SubsectionIII","FamilyI","",""
"OTU_9534","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_1",""
"OTU_9535","Bacteria","Bacteroidetes","","","","",""
"OTU_9536","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","",""
"OTU_9537","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","",""
"OTU_9538","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Craurococcus",""
"OTU_9539","Bacteria","Acidobacteria","Subgroup_21","","","",""
"OTU_9540","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","",""
"OTU_9541","Bacteria","Cyanobacteria","unidentified_Cyanobacteria","SubsectionIII","FamilyI","Leptolyngbya",""
"OTU_9542","Bacteria","Candidatus_Berkelbacteria","","","","",""
"OTU_9544","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","","",""
"OTU_9545","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9546","Bacteria","","","","","",""
"OTU_9547","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","","",""
"OTU_9548","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Lutispora",""
"OTU_9549","Bacteria","Chloroflexi","SHA-26","","","",""
"OTU_9550","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9551","Bacteria","","","","","",""
"OTU_9552","Bacteria","Fibrobacteres","Chitinivibrionia","","","",""
"OTU_9553","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9554","Bacteria","Tenericutes","Mollicutes","Haloplasmatales","Haloplasmataceae","Haloplasma",""
"OTU_9556","Bacteria","Planctomycetes","Phycisphaerae","CCM11a","","",""
"OTU_9557","Bacteria","Proteobacteria","Gammaproteobacteria","HTA4","","",""
"OTU_9558","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","",""
"OTU_9559","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","",""
"OTU_9560","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_9561","Bacteria","Firmicutes","Clostridia","Clostridiales","Caldicoprobacteraceae","Caldicoprobacter",""
"OTU_9563","Bacteria","","","","","",""
"OTU_9564","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_9565","Bacteria","Acidobacteria","Subgroup_6","","","",""
"OTU_9566","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9568","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485","","",""
"OTU_9569","Bacteria","","","","","",""
"OTU_9570","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27","",""
"OTU_9571","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella",""
"OTU_9572","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",""
"OTU_9573","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Zavarzinella",""
"OTU_9574","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21","",""
"OTU_9575","Bacteria","Elusimicrobia","unidentified_Elusimicrobia","Lineage_IIb","","",""
"OTU_9576","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","",""
"OTU_9577","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9578","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9580","Bacteria","Proteobacteria","","","","",""
"OTU_9582","Bacteria","Planctomycetes","BD7-11","","","",""
"OTU_9583","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_9584","Bacteria","Chloroflexi","JG30-KF-CM66","","","",""
"OTU_9586","Bacteria","","","","","",""
"OTU_9587","Bacteria","Gemmatimonadetes","unidentified_Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","",""
"OTU_9588","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_9589","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","",""
"OTU_9590","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_9591","Bacteria","Actinobacteria","Nitriliruptoria","Nitriliruptorales","Nitriliruptoraceae","",""
"OTU_9592","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",""
"OTU_9593","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","",""
"OTU_9594","Bacteria","Proteobacteria","Gammaproteobacteria","unidentified_Gammaproteobacteria","unidentified_Gammaproteobacteria","unidentified_Gammaproteobacteria","bacterium_YC-ZSS-LKJ56"
"OTU_9595","Bacteria","Actinobacteria","unidentified_Actinobacteria","Streptosporangiales","Thermomonosporaceae","Thermobispora",""
