"","S1.F.1.U","S2.F.U","S3.F.U","S4.F.U","S6.F.U","S7.F.U","S9.F.U","S10.F.U","S13.F.U","S14.F.U","S16.F.U","S18.F.U","S19.F.U","S20.F.U","S21.F.U","S22.F.U","S24.F.U","S25.F.U","S26.F.U","S27.F.U","S29.F.U","S30.F.U","S31.F.U","S32.F.U","S37.F.U","S40.F.U","S41.F.U","S42.F.U"
"OTU_111",10,17,21,25,57,54,25,35,14,49,95,46,225,39,140,58,104,64,79,48,57,123,80,74,68,93,61,427
"OTU_112",49,32,44,30,26,18,22,17,25,18,13,5,11,21,19,13,7,18,16,33,17,16,7,11,5,12,4,7
"OTU_113",16,3,19,14,0,8,40,29,39,2,26,120,8,8,4,31,19,30,15,4,15,2,11,23,34,10,68,11
"OTU_114",43,51,34,37,92,31,47,43,40,27,51,35,60,69,25,34,18,69,35,78,55,16,15,43,14,14,30,13
"OTU_115",20,23,28,20,29,19,27,50,29,19,21,1,22,31,16,6,26,18,16,15,16,46,2,9,4,12,4,3
"OTU_116",1,1,1,1,0,1,0,0,0,0,5,0,0,1,2,3,1,0,0,1,0,6,6,0,3,3,1,1
"OTU_117",36,32,23,34,39,33,21,17,29,62,23,11,21,22,37,20,27,41,29,34,19,16,17,29,20,21,39,27
"OTU_118",4,3,5,7,22,2,6,12,6,40,18,5,41,19,106,11,18,16,22,14,3,20,2,32,14,12,21,3
"OTU_119",62,39,85,40,18,38,27,23,65,35,28,20,14,17,20,20,11,14,20,32,30,32,108,35,46,11,24,30
"OTU_120",45,43,28,31,95,28,31,44,35,34,32,22,69,43,41,41,64,26,51,81,59,26,16,50,34,30,44,62
"OTU_121",34,13,24,22,20,11,7,7,15,21,8,10,15,23,7,14,3,5,5,27,5,2,7,6,11,6,23,4
"OTU_122",192,51,112,67,82,52,107,47,184,22,35,42,49,122,55,122,15,121,37,123,154,37,84,19,38,35,48,94
"OTU_123",37,8,21,12,27,10,5,7,12,26,4,9,5,11,19,12,6,33,13,9,9,2,4,1,2,5,2,8
"OTU_124",3,7,32,2,2,12,22,25,10,19,13,6,15,9,10,8,53,48,6,4,8,22,5,2,10,11,5,11
"OTU_125",43,36,31,42,11,23,26,15,22,16,9,114,16,49,18,6,3,16,19,26,35,5,27,8,26,9,15,9
"OTU_126",71,51,46,65,147,78,68,83,53,71,75,49,78,84,71,49,200,152,118,78,83,18,10,87,60,39,78,66
"OTU_127",27,139,39,93,53,78,46,43,56,33,25,11,22,30,14,17,13,25,26,10,26,31,19,12,6,39,13,10
"OTU_128",54,31,32,52,32,31,49,18,42,34,18,22,24,23,38,31,9,10,50,35,35,22,17,33,18,9,18,22
"OTU_129",20,15,24,10,6,15,17,17,19,19,40,14,28,17,28,34,75,33,17,9,33,18,19,13,25,9,18,14
"OTU_130",22,10,9,20,6,45,34,14,20,15,12,4,26,24,9,6,30,18,12,11,6,21,4,7,7,61,5,16
"OTU_131",134,244,139,152,320,146,132,165,113,158,63,43,99,232,69,60,78,75,136,104,95,83,29,37,39,80,44,66
"OTU_132",4,4,9,10,2,9,12,3,9,5,13,25,37,10,31,32,27,51,15,7,9,16,11,14,14,14,8,20
"OTU_133",24,3,22,17,1,26,19,6,26,12,3,82,10,14,12,13,7,31,17,16,15,22,27,16,32,5,13,21
"OTU_134",49,13,76,77,3,37,67,13,8,2,0,27,12,45,13,31,0,1,0,5,4,5,19,6,8,1,0,0
"OTU_135",24,1,21,27,0,14,39,9,57,13,5,118,31,31,35,57,6,19,12,22,17,6,15,14,11,20,27,19
"OTU_136",24,36,43,51,21,22,40,33,46,44,67,24,14,24,11,8,64,27,8,7,26,10,10,20,57,14,72,29
"OTU_137",9,40,16,12,49,46,26,18,11,11,23,6,15,24,33,7,7,13,11,23,23,30,8,13,1,6,7,1
"OTU_138",42,22,33,55,35,11,32,12,37,12,30,65,32,35,27,17,14,60,64,63,31,30,72,35,60,31,62,47
"OTU_139",9,17,5,25,3,17,10,13,30,18,12,12,22,23,24,41,34,16,8,18,12,24,10,13,36,18,27,17
"OTU_140",7,2,7,7,8,23,22,7,10,7,9,8,13,13,8,7,42,4,13,15,5,2,1,17,32,5,16,1
"OTU_141",4,17,11,1,2,3,5,19,4,17,20,2,5,19,7,12,15,11,2,17,14,5,1,2,2,1,7,1
"OTU_142",16,1,7,11,1,7,18,6,21,9,8,28,8,4,12,13,8,15,14,5,16,6,15,13,15,16,21,5
"OTU_143",149,34,266,68,0,21,33,4,124,19,3,11,0,5,0,0,1,2,0,7,5,3,8,6,5,2,0,6
"OTU_144",2,0,13,1,0,14,36,16,4,2,10,54,14,5,12,15,25,4,14,2,17,18,18,25,11,6,5,4
"OTU_145",7,6,7,4,20,9,20,7,13,11,4,10,17,19,13,14,3,20,23,20,19,6,4,21,24,25,29,19
"OTU_146",23,32,28,8,7,24,38,53,33,46,40,19,40,51,11,47,48,28,45,57,32,1,7,21,12,22,36,17
"OTU_147",4,7,8,2,12,8,9,20,6,11,10,5,7,5,8,11,9,14,3,11,10,8,0,5,4,3,7,1
"OTU_148",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,1,46,50,104,63,1,69,0
"OTU_149",31,11,15,16,31,57,26,12,16,40,4,7,20,37,19,25,6,9,7,27,37,36,21,12,5,8,11,16
"OTU_150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,28,33,0,0,0,0
"OTU_151",13,13,20,21,11,35,33,23,16,15,22,10,11,42,8,9,14,11,11,19,17,27,6,33,40,16,53,18
"OTU_152",16,43,27,16,10,61,27,56,13,51,44,10,23,17,15,11,33,19,18,16,25,13,11,14,13,11,8,12
